smiles,mu,gap,cv,TPSA
COC12CC(C1)C(=O)C2,2.6895,0.2297,31.303,26.3
CC(=O)C1(C)CC=CC1,2.489,0.2288,35.416,17.07
COC1(C)C(O)C1(C)C,1.6044,0.2941,41.287,29.46
CC1=CC2CC(=O)C1O2,2.5746,0.2012,28.964,26.3
CC1CC1CC(O)C#C,1.3182,0.2907,38.26,20.23
CCC(C)C1(C)COC1,1.9833,0.3098,39.727,9.23
CC12CC(=O)C3OC1C23,3.6846,0.2122,28.976,26.3
Cn1ccc2c1CCO2,3.0641,0.216,29.809,14.16
N#CC1C2CC=CC1N2,3.1597,0.2434,28.099,35.82
CC1C2(C)CC2C1(C)C,0.2644,0.3225,40.255,0.0
CN=C1NN=NC(N)=C1,1.4429,0.1484,31.349,79.95
CC1C(CC11CN1)=NO,1.4817,0.2456,34.296,54.53
O=C1CC2CCCC12,2.8332,0.2156,27.019,17.07
CC(CCO)C(C)=O,3.7203,0.23,35.613,37.3
O=C1CC2(CN12)C1CN1,2.7631,0.2358,29.617,42.019999999999996
OC1C(O)C1NCC#N,5.9925,0.2419,33.766,76.28
CC12NC(C1O)C2C=O,3.7836,0.2025,32.179,49.33
CC1CC(C#C)C(=O)O1,4.2106,0.262,31.975,26.3
COC(C)C1OC1C#C,1.5374,0.2734,36.198,21.759999999999998
CC12CC1(CO2)C#N,2.9946,0.2674,27.476,33.019999999999996
CC(C)Nc1cnn[nH]1,5.8615,0.2279,33.633,53.6
CC(=N)OCCCC#N,4.3773,0.2961,35.19,56.87
CC1NC1C(C)(O)C#C,1.5933,0.2887,38.544,42.17
CC1CC2CCC=CC12,0.2152,0.2597,33.534,0.0
C1OCC2OCCCC12,2.3503,0.3275,30.235,18.46
O=CC1C2CC1N2C=O,2.0166,0.1981,28.593,37.38
COC12CC(C1)C21CO1,2.3895,0.3457,31.68,21.759999999999998
CC12C3CN1C(=O)C23O,4.3668,0.2344,30.344,40.540000000000006
CC12CC(OC=N)C1N2,4.0182,0.2721,32.671,55.019999999999996
O=C1OC2CC12CC#N,5.3238,0.2751,28.004,50.09
OCCN1C2COCC12,2.5845,0.3174,31.655,32.47
CC1CCC(C)(C)CO1,1.1502,0.3194,38.683,9.23
CC(C)C1NC1C#N,4.6169,0.2909,31.634,45.730000000000004
OC12C3CC1C3C21CC1,1.2455,0.3099,31.152,20.23
O=C1C2CCC1(N2)C#C,1.7529,0.2291,29.729,29.1
CCC1=CC2CC1C2=O,2.5927,0.2413,31.482,17.07
CC1=C(C)C2CC1C=C2,0.3016,0.2118,32.848,0.0
CNC(C)C(=O)C#N,4.6318,0.1673,31.592,52.89
COC1CC2C(C)C2C1,1.1893,0.32,35.112,9.23
CCC(C)(OC=N)C#C,3.6646,0.281,38.69,33.08
C1C(=CC(=O)C1=O)C#N,1.2017,0.1269,26.733,57.93
C#Cc1ccnn1C=O,4.2938,0.1878,27.539,34.89
CCC1CC2C(O)C12O,1.2794,0.3105,36.731,40.46
OC1CCC11CN=CO1,3.151,0.2705,30.484,41.82000000000001
CCNc1coc(=O)o1,5.7825,0.2442,30.518,55.38
OC1CCC2C1NC2=O,3.6653,0.2779,30.791,49.33
C1CC2C=CC3OC23C1,1.9716,0.2463,28.734,12.53
CC1(C)[NH2+]CC1C([O-])=O,5.4266,0.2725,34.487,56.74
CCC1C=CC(O)C1=O,2.475,0.2217,33.723,37.3
C#CC1C=CCC1C#N,4.1432,0.2604,30.748,23.79
CC1CC2(O)CNC2=N1,2.2138,0.2396,32.52,44.62
OC1CN2C1=NOC2=O,5.9993,0.2398,26.45,68.25999999999999
CC12CC=CC1(CO)O2,2.1975,0.2478,33.533,32.76
COC(=O)C1CC1,1.5577,0.2847,25.703,26.3
Cn1cc(nc1)NC=N,1.1872,0.2145,30.978,53.7
OC1CCC(O)(C1)C#C,2.4094,0.299,35.726,40.46
O=CC12CCC1C(=O)C2,3.4773,0.2088,30.177,34.14
CC1C=C(C)CCC1O,1.5838,0.2618,37.345,20.23
c1c(c(c(cn1)O)O)N,3.8821,0.2188,30.102,79.37
CC(O)CC(=O)C#C,3.4616,0.1903,32.01,37.3
C1C2CN3N=CC=C3N12,2.6923,0.2446,25.127,20.83
CC12C3CC1N3C2C#N,4.6871,0.2627,29.46,27.03
CC1=CC2(C)CC1C2,0.1885,0.2365,30.674,0.0
C1CC12CC(=O)OCO2,3.73,0.2705,29.415,35.53
OC12CCC1CC2C#N,3.0919,0.2898,31.727,44.019999999999996
OC1CC1CNCC#N,4.7054,0.2404,33.856,56.05
CCN(C)C(=O)C1CC1,3.3262,0.2608,36.997,20.310000000000002
C1Cn2c1c(nn2)C=O,7.7467,0.2032,25.766,47.78
CNc1c(nc[nH]1)C#N,8.0471,0.2128,29.984,64.5
CC1C(C)C23CC(C2)C13,0.4406,0.3046,34.395,0.0
COC(=O)C1COC1C,2.7894,0.2514,33.517,35.53
CCOC(=N)CC1CO1,2.6145,0.2887,34.774,45.61
C1CC2OC3C(O2)C3O1,0.7231,0.3012,26.248,27.69
CC(OC=O)C(O)C#N,5.0866,0.2803,33.932,70.32
CC1COC(CCO)O1,1.9255,0.3344,35.227,38.69
CC12C3C4C3C1(CO)C24,1.5762,0.2862,32.546,20.23
CC1(C#C)C2COC12,1.2626,0.2701,29.191,9.23
CCC(CO)C(C)(C)O,1.8386,0.3266,43.986,40.46
CN1C=COC(=N)C1=O,5.2973,0.1778,29.282,58.99
CC1=C(N)C(=N)N=CN1,5.4446,0.1821,32.058,78.55000000000001
CCn1ccc(n1)C#N,6.7284,0.2359,29.57,41.61
CCC(O)CCC#N,4.058,0.3231,33.775,44.019999999999996
CC(C#C)C(C)C1CO1,1.5087,0.3106,37.852,12.53
OC1C(=O)OC11COC1,2.2384,0.2511,29.06,55.760000000000005
COC1CC(C)C1OC,1.3908,0.3125,37.87,18.46
c1cc-2nconc2c1,0.9327,0.1335,23.957,38.92
N=C1OC(=NC=N1)C#N,3.087,0.1618,24.678,86.56
NC1=NOC=C(F)C1=N,0.5821,0.1741,28.535,75.9
CC1=C(F)C(=N)ON=C1,3.5679,0.1722,28.786,49.88
CC1OCC1(C)C#N,3.0281,0.2893,30.386,33.019999999999996
c1c2c(on1)NCCN2,4.6097,0.2091,27.169,50.09
O=C1COCC(N1)C#C,3.3539,0.259,30.712,38.33
CC1(C)OCCC1CO,2.013,0.3111,37.98,29.46
CN1CC1C1CN1C=O,2.9097,0.232,33.003,23.09
CC1(C)COC2CCC12,1.4377,0.3147,34.973,9.23
CCN=C1OC(C)C1C,2.3445,0.2765,37.16,21.59
CCC(C)C(=O)CC=O,2.2942,0.2057,37.695,34.14
OCCCCC1CO1,1.2033,0.3423,32.951,32.76
COC12CC3C1CC23,1.0965,0.3436,27.378,9.23
c1cncc(c1N)C#N,4.5604,0.1949,28.28,62.699999999999996
CC1=C(C)CC(C1)C=O,3.1963,0.2133,35.524,17.07
C#CC1C2OC1C2(C)C,2.1001,0.2836,34.726,9.23
NC1(C#N)C2C3OC1C23,3.2288,0.2687,28.272,59.040000000000006
COC(C=O)C1(O)CC1,2.7873,0.2068,35.912,46.53
CC(C)(C)CCC1CO1,1.6837,0.337,40.62,12.53
O=COC1C2C3CC1N23,2.2347,0.2666,26.976,29.310000000000002
CC1(C)CCN2CC12,1.5086,0.3047,31.593,3.01
CC12CC1C1CC2(C)O1,1.5085,0.3267,33.141,9.23
CCC(C#C)C1CC1C,0.5641,0.3105,39.598,0.0
CC1(NC1C1CC1)C#N,3.3618,0.2801,33.935,45.730000000000004
c1cncc2c1CCN2,3.4617,0.1906,26.753,24.92
ON=C1C=CC2COC12,2.2624,0.1915,28.282,41.82000000000001
CCC1CC(C)(O1)C=O,2.1413,0.2126,36.382,26.3
CC1CC(C)(C)OC1=N,3.1652,0.2823,36.798,33.08
COCC(=NO)C#C,1.289,0.209,31.602,41.82
OC(CC#N)C#N,1.4164,0.3095,24.36,67.81
OC12CCC1CC21CN1,0.8156,0.3034,32.527,42.17
COC1C2CN(C=O)C12,4.682,0.2606,31.065,29.54
COCC(O)C1CC1O,1.4999,0.2919,36.971,49.69
CC(O)C(O)C1(O)CC1,2.8605,0.3035,38.099,60.69
CC1OC1C(O)C1CC1,1.1845,0.32,36.459,32.76
CC1C=CC(=O)N1C=N,5.8887,0.1949,30.887,44.160000000000004
CC(O)CCCC(N)=O,4.5716,0.2782,40.225,63.32
N#CC1C2NC(C#N)C12,8.0776,0.2618,27.884,59.61
CCC1=CC2OC1C2C,1.8414,0.2339,33.741,9.23
[NH3+]C1C(CO)C1C([O-])=O,6.4316,0.2707,33.19,88.0
CCC1NC2C1OC2=O,4.793,0.2427,30.707,38.33
OC1C2OCC3CC3C12,2.2192,0.2993,30.191,29.46
CN=c1cc[nH]c(n1)F,4.7606,0.1927,29.339,41.04
Cc1c(n(cn1)C=O)C,3.4551,0.1828,31.441,34.89
CC1CN(C1)C(=O)C,4.0404,0.2677,31.64,20.310000000000002
CCC(C)(CO)C#N,3.1774,0.3136,34.656,44.019999999999996
CC(CO)C1OC1C#N,2.7642,0.2702,34.444,56.55
CC1CN2C=CC=C12,2.043,0.2493,26.739,4.93
C1OC11C2CC3C2OC13,1.0579,0.3051,26.343,21.759999999999998
OC1CCC11CC2NC12,3.0183,0.3047,31.721,42.17
c1nc(on1)OC(=N)N,4.1063,0.2482,27.519,98.02
c1c2n(c(n1)O)C=CC2,2.2369,0.1915,26.744,38.05
COC1CC=CC(=N)O1,3.0775,0.2163,31.177,42.31
CC1CC(C)(C1)C(C)=O,2.4735,0.2296,38.622,17.07
OC12CC3NC(=NC1)C23,2.4061,0.2118,28.677,44.62
CCN(CCO)C(=O)C,5.3545,0.256,38.263,40.54
OC1C2C3OCC3C12O,1.4719,0.2823,30.165,49.69
Cc1ncc(nn1)O,1.1486,0.1687,24.826,58.900000000000006
CC(=NO)CN1CC1,0.791,0.2503,31.843,35.6
C1C=CNC(=O)C=C1N,4.5125,0.1869,31.428,55.120000000000005
CC1OCC2(OC12)C=O,2.4319,0.2133,30.477,38.83
OC1C=CC(O)C1C=O,4.4271,0.2113,32.032,57.53
CCC(O)C12CC(C1)O2,2.0557,0.3204,34.779,29.46
C1CCOC(=NC1)C#N,5.9046,0.2197,29.887,45.379999999999995
CC1CC11CC(C)C=C1,0.1779,0.244,36.079,0.0
CN1CC1(C)C(O)C#N,5.4973,0.2828,35.506,47.03
CC1C2(CO2)CC1(C)C,1.7492,0.3291,38.079,12.53
CCC1C(C)CCC1O,1.5875,0.3129,39.092,20.23
O=C1NC2(CC1C2)C#C,3.549,0.2563,29.683,29.1
CC1C2C3C1N2C3(C)C,1.5694,0.3039,34.911,3.24
CC1=CC2(CO)CN2C1,0.9224,0.2332,34.02,23.240000000000002
CC1(CCC1)C#CC#N,5.6201,0.2392,33.269,23.79
N#CC12CN3C4C(C14)C23,3.3137,0.2541,25.234,27.03
OC12CC3(O)CC1C23,2.3052,0.3146,28.322,40.46
CC(C#C)C12CC1OC2,1.7046,0.281,33.997,9.23
O=C1NC2CC1C2C#N,3.0912,0.2519,27.34,52.89
C#CCC1CC11COC1,1.236,0.2919,33.393,9.23
O=CN1CC1C#C,3.0232,0.251,23.984,20.08
OC1C2C3C4C3C2(O)C14,1.9626,0.2846,28.947,40.46
CNC(C)(C#N)C(C)O,4.119,0.2867,39.959,56.05
COC1CC(C)(O)CO1,1.4351,0.3227,36.054,38.69
CCOC1(CC1)CCO,0.5466,0.3263,39.116,29.46
CC#CC12CCC1C2C,0.1612,0.2614,35.811,0.0
CC1OC2C(O)C(C)C12,2.7792,0.2891,34.759,29.46
CCC1(CC1)C(F)(F)F,2.0672,0.3821,33.676,0.0
CC1CC(C1)(C=O)C#C,2.141,0.2206,35.326,17.07
OC12CC(C1)C21CO1,2.5289,0.3274,27.231,32.76
O=CC1CCCC11CO1,3.2848,0.2265,31.392,29.6
O=C1NC2CC2CO1,4.9154,0.2899,24.926,38.33
C1OC2C3CN(C3)C12,1.2155,0.3087,23.332,12.47
CC(=O)n1c(ccn1)N,1.6661,0.1787,30.906,60.91
C#CCCNC(=O)N,3.9336,0.2999,32.524,55.120000000000005
C1NC2=NCCOC12,1.2916,0.2523,25.105,33.620000000000005
CC12C(O)C1CC2CO,2.8654,0.3057,36.49,40.46
CNC(=O)C1(CC1)C=O,1.5789,0.2129,33.444,46.17
CCC(O)C#CC(N)=O,2.8302,0.2323,37.37,63.32
COC12CC(OC1)C2=O,1.7289,0.1966,30.213,35.53
CC1C(=O)C2OC12C#C,2.6775,0.2059,31.303,29.6
CC1=C(F)NN=CC1=N,2.627,0.1744,29.656,52.53
OCCC(O)C(O)C=O,3.8436,0.2305,36.275,77.75999999999999
OC1CCC2NC12C#C,2.703,0.2667,32.237,42.17
C#CCOC=NCCO,4.4389,0.2544,35.291,41.82
CC12C3CN(C13)C2C#N,4.3969,0.2522,29.404,27.03
OC12COC11CC2C=C1,0.9117,0.2218,29.218,29.46
CC12NC1C1CCC=C21,1.6234,0.2362,31.375,21.94
CN=C1NC2COC12,3.5179,0.2412,26.922,33.620000000000005
c1c([nH]c(n1)CCO)O,1.9885,0.2378,32.716,69.14
C1Cc2c([nH]nn2)C=C1,4.4403,0.1845,26.351,41.57
c1c(ocn1)N,2.9659,0.2251,18.0,52.05
OC1CC2CC2C11CN1,1.0703,0.3062,31.95,42.17
FC1=CC(F)=CC(=N)N1,3.1487,0.1777,27.62,39.64
CC1OC11CCC1O,1.9511,0.3104,31.027,32.76
CCC(C=O)C1CO1,2.6258,0.225,31.087,29.6
CC1C2N3CC2(C3)C1=O,0.9656,0.1895,30.18,20.310000000000002
CCC1(COC=O)CO1,4.8608,0.2805,34.255,38.83
c1c2c(on1)OCCC2,4.8691,0.2312,26.192,35.260000000000005
CC12CN3C1C1OC1C23,0.6957,0.293,28.139,15.77
CN=C(C1OCCO1)N,2.9089,0.2596,33.324,56.84
CNC(=O)C(O)C#CC,4.5924,0.264,36.513,49.33
CC1C2CC1(C2)C(N)=O,3.3197,0.2633,34.218,43.09
OC1CC2CCC(C1)O2,1.0912,0.3038,31.385,29.46
CC12CC1C(=N)N2C=O,5.0813,0.2332,31.205,44.160000000000004
O=C1C2CCC1OCO2,3.4118,0.1979,27.534,35.53
N#CC1C2NC2C1C#N,7.8832,0.2681,27.742,69.52000000000001
O=C1CC2CC2C2CC12,3.253,0.2205,29.768,17.07
CCC12CN3C(C13)C2=O,2.3388,0.2251,30.408,20.08
CNc1ccc(o1)C#N,6.5843,0.1792,29.996,48.96
O=CC1OC11CCCC1,3.3225,0.2152,31.387,29.6
CC1C2NC(=N)C(=O)C12,4.5145,0.1765,30.455,52.95
CC(=O)C12NC3C1NC23,3.4413,0.2111,29.505,41.13
CC1OC2CC2C1C#C,0.921,0.2824,33.169,9.23
CCC12C3C4C(C13)C24O,1.3633,0.2842,32.477,20.23
C#CC(C#C)OC=O,3.7687,0.2702,28.809,26.3
[NH3+]C(CC([O-])=O)C#C,6.0352,0.2642,29.976,67.77000000000001
CC1NC(=O)C11CC1,3.7419,0.277,29.538,29.1
CC1C(C)C23CC(O2)C13,1.677,0.2972,33.341,9.23
CC(=N)OC1CCC1,1.1815,0.2885,30.817,33.08
[O-]C(=O)C[NH2+]CC1CO1,4.4489,0.2698,32.06,69.27
O=C1CCC2CC12C#C,3.4245,0.223,31.191,17.07
CC1OCC23CC(O2)C13,2.5648,0.3119,29.911,18.46
C1C(CO1)(C(=O)CO)O,2.9535,0.2281,33.247,66.76
c1c(cnoc1=O)C#N,1.4531,0.1664,25.154,66.89
C#CC1(CC2OC12)C#N,2.594,0.2767,29.666,36.32
CC1CC2CC2(C)CO1,1.2114,0.3269,35.442,9.23
Cc1cnc([nH]1)C#C,3.9132,0.1987,27.438,28.68
OC12C3CC1C(=O)OC23,3.3125,0.2633,27.128,46.53
COC(C)(CO)C=O,2.7024,0.2134,34.473,46.53
C#CC1(C#C)C2CCC12,1.1882,0.2637,33.146,0.0
CC1N2C3CC2C13C#N,2.4361,0.2694,29.38,27.03
C1CC1C1C2CC1C2,0.151,0.3636,28.007,0.0
CC(C)C1COC(=O)C1,4.6176,0.2785,34.557,26.3
OC1CC1C1CC1O,0.0014,0.3222,31.487,40.46
Cn1c(n[nH]c1=O)C=O,2.0543,0.16,28.636,67.75
CC(O)C#CC1CC1C,1.848,0.2726,38.238,20.23
COC12CC3C1OC23C,2.2852,0.3093,32.518,18.46
CN(C=O)c1ccn[nH]1,1.4288,0.2222,29.673,48.99
CC12CN3CC3C1C2O,2.2895,0.2829,32.549,23.240000000000002
CC1=CCCOC1C#N,4.7578,0.2589,31.723,33.019999999999996
CC(C)C1(C)CC=CC1,0.1423,0.2654,38.952,0.0
CC1=C(C(=O)NC1=O)C,2.1133,0.1825,31.849,46.17
C#CC1(NCC=C1)C#N,3.34,0.2351,30.917,35.82
CC(O)C12C3C4C3C1C24,1.412,0.2885,31.987,20.23
CC1(CO1)C1CC2NC12,2.88,0.3055,32.554,34.47
CC1(CC2CC12)C=O,2.4068,0.2281,29.529,17.07
CC1(O)C(=O)CNC1=O,3.4983,0.2099,32.189,66.4
CC1CC(O)C(CO)O1,3.8536,0.3033,35.883,49.69
CC1OCC=C1CC#C,1.4667,0.2422,34.185,9.23
CCC(CC)NCC#N,3.1399,0.2653,39.581,35.82
CC1(O)CC1COC=N,3.6458,0.2825,36.639,53.31
c1c(oc(=O)[nH]1)NC=O,2.0815,0.1926,27.947,75.1
CC1=C2CCC2CC1O,1.7212,0.2425,33.959,20.23
CC12CNC1(CN2)C#N,3.6488,0.2426,32.026,47.849999999999994
N=C1C=NN2CCC2=N1,4.7725,0.1766,26.177,54.56
CC(O)CC(=O)C(C)=O,1.4127,0.1561,36.958,54.37
CCCC1(C)CN=CO1,1.987,0.2724,35.678,21.59
CC1N=COC1(C)CO,0.6615,0.2678,34.842,41.82
CCCCC(=O)C,2.5767,0.2344,31.44,17.07
CC12COC(=N)C1N2,3.107,0.2693,26.89,55.019999999999996
CC1OC(CO)C1O,1.923,0.2977,31.693,49.69
CN1C2C(=O)OCC12C,3.9925,0.2448,31.68,29.31
CC1CC1(C)C#CC#N,5.9822,0.2249,34.957,23.79
OCC12NC1CC1OC21,2.9286,0.3029,30.349,54.7
N=C1NC(C#N)C1C#N,6.6902,0.26,28.844,83.46000000000001
O=CC1CC2CN12,1.5593,0.2122,22.707,20.08
CC(N)(CC(N)=O)C#N,4.5079,0.2607,36.345,92.9
CC(C=O)C(C)C(N)=O,2.4308,0.2063,37.21,60.160000000000004
O=CC1NC11CN2CC12,2.4084,0.2078,29.624,42.02
CCC1(CCC1)C2CC2,0.0497,0.3441,37.708,0.0
N#CC12CN1C1CC2C1,4.8408,0.2753,27.47,26.799999999999997
c1c(oc(=O)[nH]1)OC=O,4.6128,0.2068,26.972,72.30000000000001
CC1(C)C2CC2(O)C1=O,2.4553,0.2279,35.213,37.3
O=C1C2CCC(C2)C1=O,4.6941,0.1461,27.973,34.14
CC(O)C1=C(N)C=CN1,0.8216,0.2179,35.484,62.04
CC1OC(=N)C(C)=C1C,3.527,0.2183,35.329,33.08
COC1(C)C2OC1C2=O,3.2644,0.2419,32.282,35.53
CC12OC1C1C=CCC21,1.7045,0.2631,30.175,12.53
OC1CC2C(C3CC3)C12,1.7404,0.3226,33.163,20.23
C1NC1C1=NON=N1,3.7589,0.2047,22.263,73.75
CCC12CC3CC1(C)C23,0.3332,0.3256,35.32,0.0
CC(C)(C)C1(COC1)O,0.7151,0.3085,39.543,29.46
CN1C(CC1C#N)C#C,4.1502,0.2442,32.994,27.03
COC12CCC1C(C)C2,0.8998,0.3179,36.043,9.23
COC1CC1(CO)C#C,2.0833,0.2759,36.842,29.46
CC1OC2(C)CC1(O)C2,1.1301,0.3023,35.451,29.46
COCC(O)C1NC1C,1.7846,0.321,37.902,51.400000000000006
CN=C(c1ncon1)N,3.7479,0.1918,29.656,77.3
CCC(=NO)COCC,0.6572,0.2539,39.093,41.82000000000001
CC(C)C1=COC(=N)N1,3.8532,0.2241,34.637,52.78
C[NH2+]CC1=CN=C([O-])O1,4.2906,0.1492,34.208,65.7
CC1CC2C1CC2(C)C,0.1317,0.3374,38.094,0.0
NC1C(OC1=O)C1CN1,2.5025,0.2429,30.873,74.26
CC(=NO)CCCC=O,2.2496,0.2214,37.248,49.660000000000004
CC(=O)c1cnnnn1,2.8512,0.1461,27.324,68.63
C1C2N1CC21CN2CC12,1.2351,0.2972,28.985,6.02
OCC#CC1(O)CC1O,2.6718,0.265,36.386,60.69
CCC1(CN1C)C1CC1,1.2085,0.3109,38.362,3.01
CC12C3C4N3C1C24C=O,2.3245,0.1943,28.841,20.08
CC1=CC2(OC2C1)C#N,5.0885,0.2329,30.043,36.32
C1C2OC2C2=NOC=C12,3.753,0.2425,24.081,38.56
CC12COCC1CCO2,1.8173,0.3096,31.592,18.46
CC1COC23CC12OC3,1.2716,0.2753,30.69,18.46
C1CC23CC1C=CC2O3,2.4094,0.2424,28.2,12.53
CN1CC1C1NC1CO,2.5514,0.2906,35.422,45.18000000000001
CC1(C=O)C2COC12,2.9004,0.2224,27.716,26.3
CC12NC1C(=O)NC2=O,2.9616,0.2243,28.956,68.11000000000001
CC(C)(C1(CC1)OC)O,2.1453,0.3196,40.539,29.46
CCC1NC(=NC)C1O,2.5842,0.2575,37.354,44.620000000000005
CN1C(=N)C=NNC1=O,1.8318,0.1911,28.75,74.53
CC1C2OC2C(O)C1O,2.8075,0.3245,32.297,52.989999999999995
c1cc([nH]c1CCO)N,1.7588,0.232,34.89,62.03999999999999
COCC(=O)COC=O,6.5813,0.2296,33.444,52.6
C#CC12CN1CC=C2,1.6593,0.2291,26.813,3.01
CC1CC2CCC12C=O,2.8483,0.2191,33.591,17.07
CC1C2CC1C2(O)C#N,3.5063,0.3059,32.486,44.019999999999996
Cc1c(=O)n(ncn1)C,1.0054,0.1726,30.046,47.78
CC12C3CC1CC2(O)C3,0.9622,0.317,33.516,20.23
C1C=CCC=CC=C1,0.1969,0.1852,27.969,0.0
C(C(=N)NC(=N)C#N)O,1.631,0.1913,32.082,103.75000000000001
CCC1CC11CCC1O,1.5106,0.3258,37.164,20.23
CC(=O)Oc1ccco1,1.5877,0.2193,29.112,39.44
CC(C=O)(C=O)NC,1.8094,0.1748,32.749,46.17
CC1C(=O)OC11CC1O,4.7194,0.2813,32.435,46.53
CC12CN3C1C2(O)C3=O,4.6002,0.233,30.472,40.54
OC(C#C)C1C2CCN12,0.2382,0.2576,32.983,23.240000000000002
OC1CC11CC2(CC2)C1,1.3167,0.3231,34.603,20.23
CC1OCC(C)=C1C=O,3.6249,0.1824,33.779,26.3
C#CC1=CCC(=O)N1,3.1285,0.1836,26.809,29.1
C#CCN1CC1C1CC1,1.0465,0.2631,34.82,3.01
O=CC1=CNC2CCC12,5.373,0.1763,29.713,29.1
N=COCC1(CN1)C#C,3.1582,0.2593,33.43,55.019999999999996
OCC1C2CCC12CO,3.0461,0.3054,35.0,40.46
CC12N=COC1CC2=O,3.0126,0.2063,29.049,38.66
OC1CCC11CCCO1,1.0529,0.3048,33.292,29.46
C1C=CCN1C(=O)C#N,5.4504,0.2109,28.544,44.1
OCC1C=CCC2CN12,1.3795,0.2439,32.215,23.240000000000002
CC12CC3C1OC3(C)C2,1.5165,0.3243,32.637,9.23
CC1(C)CC2C(O)C2O1,1.918,0.3014,34.852,29.46
O=C1OCOC2COC12,4.8347,0.2477,26.167,44.760000000000005
CC1(CCO)CC1C#C,1.8338,0.2867,38.644,20.23
CC12C3CC1(C)OCC23,1.5227,0.3181,33.08,9.23
CCC1CNC(=O)N1C,3.9421,0.2938,34.885,32.34
c1c(c(n[nH]1)C=O)C=O,3.3822,0.1858,26.615,62.82
CC12CCCC1CO2,1.6476,0.3217,29.344,9.23
OCC1NC11CC(O)C1,1.6947,0.3112,34.858,62.400000000000006
OCC12CC1OC2,1.5683,0.3025,24.762,29.46
CC1COC11COC1C,2.4688,0.316,34.273,18.46
OC1CC2CC1(N2)C#N,5.0116,0.2687,29.305,56.05
COC1=NC(=O)N=NO1,3.4777,0.2643,31.945,78.11
OCC12CC(CC1O)O2,2.1659,0.2836,32.14,49.69
