smiles,mu,gap,cv,TPSA
CC1(CC1)c2cnn[nH]2,4.8742,0.2505,30.611,41.57
CC1NC(=O)COC1=O,2.6894,0.2554,30.245,55.4
CC(C)CC(C)NC=O,3.5086,0.282,40.55,29.1
Cn1c(c(oc1=O)N)O,4.3624,0.2422,31.628,81.39
C#CC1CC2(CC2)C=C1,0.8705,0.2455,32.865,0.0
C#CC1=CCCC1=O,3.4682,0.187,26.936,17.07
CC12CC(C1)C2C1CO1,1.5989,0.3483,32.464,12.53
CN1CC2CC11COC21,2.3764,0.2585,30.405,12.47
CC1C(C)C1([NH3+])C([O-])=O,5.5291,0.2692,36.663,67.77000000000001
CC1(C)N2CCC12C=O,3.0063,0.2054,34.616,20.08
CC1CC(C=C1)N1CC1,0.9886,0.2516,33.901,3.01
O=C1NC2CC3(CO3)C12,4.7795,0.2681,28.293,41.63
CCC(C)N1C=CN=C1,4.2024,0.2545,34.114,17.82
CC1(CC(O1)C#C)C#C,1.7958,0.2675,34.828,9.23
CC1(CC1(C#C)C#C)C,1.1512,0.2625,38.57,0.0
COC1C(C=O)C1(C)O,2.0193,0.2207,36.633,46.53
CC1CC2CC2C1(C)C,0.2221,0.3344,37.981,0.0
CC12CC3C(N=CO1)C23,2.2854,0.2566,28.681,21.59
O=C1CCC=CC1C#C,2.7873,0.2153,31.67,17.07
CCC1OC2C=CCC12,1.8027,0.2496,31.959,9.23
CN=C1CN(C(=O)N1)C,1.2795,0.241,32.959,44.7
CC1C2OCOC1C2=O,1.7593,0.2041,29.345,35.53
CC#CC1(OC1C)C#N,4.7701,0.2519,33.987,36.32
C1OC2CC34CC(C3)C124,1.6272,0.2963,28.205,9.23
CCCCC(C)(O)C=O,2.9608,0.2256,41.108,37.3
CC1CCC2CCC1O2,1.3983,0.3111,32.458,9.23
CC1NC2COC1OC2,2.0862,0.2889,30.355,30.49
N=C1NC(C#N)C11CO1,2.4263,0.2582,29.078,72.2
O1C=NC2C3C=CC1C23,1.95,0.2219,25.083,21.59
OCC1CC2OCC2=C1,1.6857,0.2429,31.358,29.46
CC12CC1CC(CO)C2,1.1588,0.3305,36.146,20.23
Cn1cc(cc1N)C=O,5.7436,0.1828,32.289,48.019999999999996
CCCCOC(=O)CN,2.0415,0.2623,38.525,52.32
CCC1CCCC2CC12,0.1519,0.3382,35.981,0.0
O=CCN1C2CCCC12,3.5048,0.211,31.762,20.08
CCCC#CC(O)C=O,2.9106,0.2123,36.495,37.3
Cc1c[nH]nc1COC,1.4967,0.2568,33.318,37.91
C1CC1(CO)NC=O,2.8727,0.2727,31.143,49.33
CCC1OCOC1C=O,3.1311,0.2166,32.533,35.53
CC12C3C4CCC(C14)N23,1.6448,0.3135,29.201,3.01
c1c2c(no1)OC=NC2,2.7906,0.237,23.551,47.620000000000005
N=C1NCC=CC(=O)N1,3.2061,0.1825,29.276,64.98
CC12CC(=CC1N2)C#C,1.0336,0.1906,32.678,21.94
COC12CCC1(O)C2O,2.5971,0.2851,34.409,49.69
C#CC12CCC1=CCO2,1.6912,0.2361,30.615,9.23
O=C1CCCC2CC1O2,3.0399,0.213,29.531,26.3
c1c(c([nH]c1N)C#N)O,5.4349,0.1927,31.171,85.83
Cc1c(nc([nH]1)O)O,1.6176,0.2345,28.797,69.14
CC(O)CN(C)CC=O,2.3286,0.2091,38.671,40.54
C(CC#CC#N)CC#N,4.5868,0.2457,31.731,47.58
OCC1(O)COCC=C1,1.9485,0.2557,33.473,49.69
Cc1[nH]c2c(n1)[nH]cn2,0.5919,0.2062,27.438,57.36
N#CC1CN=C2OCC12,4.5689,0.2592,26.809,45.379999999999995
C#CC(C#C)C#CC#N,4.5441,0.2352,31.804,23.79
Cc1c(nco1)OC=O,3.9955,0.2247,28.157,52.330000000000005
CC(=O)N(C=N)C(=N)N,1.5683,0.2187,33.866,94.03
CC1CC2(CO)CCC12,1.4051,0.3285,36.228,20.23
COC(=O)C12CC1OC2,1.4918,0.2504,30.729,35.53
COC1COCC=CC1,0.2732,0.2605,33.766,18.46
CC1C2C3CC2C13C,0.2379,0.3725,29.934,0.0
CNc1[nH]c(=O)on1,6.4921,0.2598,26.126,70.92
CC1CC1C1CCC1=O,2.7201,0.2168,34.57,17.07
C1C2C3C4CC(CC34)N12,1.4199,0.3025,27.329,3.01
CC1CC2OC(=N)C2N1,2.1744,0.2495,30.85,45.11
C1CC2N=COC3C1C23,1.9999,0.2736,26.482,21.59
CC1OCCC2CC12C,1.1979,0.3256,35.43,9.23
CC1CN2C3C4NC13C24,1.521,0.2718,28.591,15.27
NC(C#C)C1=NC=CO1,1.9179,0.2428,30.277,52.05
C1OCC23CC=CC2C13,1.4861,0.248,28.333,9.23
COC12CC3C(CC13)C2,1.0315,0.3299,30.863,9.23
CCCC(C)C1COC1,1.9998,0.3146,38.606,9.23
CCC1C2CC(C=O)C12,2.5439,0.2204,33.963,17.07
C1CC2C1C1C3OC2C13,1.6325,0.3028,27.03,9.23
OC1C2C3COC2C13,1.7167,0.312,24.737,29.46
CC1(CC2CC1C2)C#C,0.6965,0.3118,33.76,0.0
OCC1CCOCOC1,3.5308,0.3214,33.773,38.69
CC1C2OC3C=CC1C23,1.7238,0.2318,28.684,9.23
OC1CC11C2CC2C1=O,2.9429,0.2257,30.852,37.3
OCC#CC1CCC1=O,2.3133,0.2114,33.096,37.3
CC1(C)CC1(O)CC#N,3.3782,0.2961,37.522,44.019999999999996
CC(C)C(=O)C(F)(F)F,2.5013,0.2216,33.606,17.07
CCC1C2CCCC12O,1.3071,0.3202,36.318,20.23
CC1OC1C(O)C=O,1.7956,0.2291,30.039,49.83
CCC1=C(N)OC(=N)N1,3.1341,0.2206,34.512,78.8
c1(nc(=O)onn1)F,2.0358,0.1662,20.219,68.88
CC12CCN1C=CC2=O,3.766,0.1828,30.173,20.310000000000002
C#CC1=C2CCC2OC1,1.3003,0.1933,30.307,9.23
CC1C2C3OC3CC12C,1.8208,0.3245,33.304,12.53
CC(O)CC(=O)C1CO1,1.7622,0.2197,35.455,49.83
CC1N(C=O)C11COC1,2.0715,0.253,31.874,29.31
OC1C2C3C(C#C)C2C13,0.9902,0.2938,30.39,20.23
C1COCC(=O)C1=O,3.7008,0.1517,25.557,43.370000000000005
CC1OC1C(=O)NC=N,2.2837,0.2312,32.569,65.48
CC([NH3+])C1(CO1)C([O-])=O,13.6173,0.1684,33.859,80.30000000000001
OC(C#N)C1=COC=C1,2.9242,0.237,28.515,57.16
OC12C3OC1C1NC3C21,1.3347,0.2611,25.906,41.49
CC1OCC1(O)C1CO1,1.555,0.3085,33.82,41.99
OC1CCC23CC12CC3,1.6669,0.2958,32.347,20.23
OC1C=CC2=C1C=NN2,2.893,0.1808,27.084,48.910000000000004
c1cnc-2cncoc12,2.4469,0.1566,23.038,38.92
CC#CC1C2C3CC2N13,1.6879,0.2635,30.288,3.24
CC1C2C1C1C3CN1C23,1.691,0.3112,29.127,3.24
CC1CC2(C)OC2C1O,2.6102,0.3209,34.94,32.76
C1CC1OC(=O)CCO,0.4393,0.2817,34.73,46.53
OC12CC3CC1CC23O,0.6225,0.282,31.242,40.46
CC1C2CCC1C2(C)O,1.3872,0.3234,36.081,20.23
CCC1CC(=N)N1C=O,4.9474,0.2294,33.278,44.160000000000004
OC1C(O)C1N1CC1,2.5996,0.3027,29.246,43.47
CC(O)C1CCC1CO,1.1123,0.3197,38.7,40.46
CC12COC1C21CCO1,1.523,0.2712,31.496,18.46
OC12CC1(OC2)C=O,2.8403,0.2015,27.292,46.53
OC1CC2C3OC1C23O,2.1318,0.2904,29.61,49.69
CC1NC1C1NCC1=O,2.7773,0.214,32.918,51.04
CC1=CCOCC1=NO,1.1495,0.1981,32.558,41.82
CCC(NC(N)=O)C#C,3.3842,0.2847,38.29,55.12
c1c(ocn1)CC2CC2,2.0797,0.2416,29.347,26.03
CCC(C)(C)OC(C)C,1.0287,0.3138,45.107,9.23
Cc1cc(oc1O)NC,2.4296,0.2159,34.696,45.400000000000006
CC(O)C(O)C(O)C#N,1.8462,0.2761,35.884,84.47999999999999
CC1C(=O)C2NC2C1=O,2.6261,0.2068,29.758,56.080000000000005
CC1NC(=O)C2OC12C,4.3635,0.2501,32.497,41.63
OC12CC1NC=C2C=O,5.6045,0.1724,30.4,49.33
CCC12CCC1(C)C2C,0.3046,0.3131,39.439,0.0
CC(C#N)C1CC1(C)O,4.8271,0.2974,37.392,44.019999999999996
CC(=O)CC1OCC1O,3.678,0.2327,34.715,46.53
CC1CN1C(C)(C)C#N,3.8379,0.2705,37.912,26.799999999999997
C1C(=CC(=O)CN1)N,5.702,0.1936,28.229,55.120000000000005
O=C1NC(C#C)C11CC1,3.29,0.2675,31.745,29.1
CC1OCC(=N)OC1C,3.1291,0.2742,33.875,42.31
OC12C3C4C1C4(O)C23,1.285,0.2908,26.47,40.46
O=C1NCC1C1CC1,3.4814,0.277,28.239,29.1
c1c(ocn1)CO,1.7385,0.2415,21.414,46.260000000000005
CC1CCC(=O)C2OC12,3.3549,0.2133,31.482,29.6
CC(=O)C1C2CC1(O)C2,2.6659,0.2243,33.319,37.3
N#CC12C=CC3C1OC23,4.8813,0.2244,26.018,33.019999999999996
CCC1=CC(=O)NC1,4.6914,0.217,29.139,29.1
OC1C(=O)C2OC2C1=O,3.5344,0.2035,27.576,66.9
O=C1CC2(CN2)C=CN1,1.6222,0.2058,29.699,51.040000000000006
CC1C2N1C(=O)C2(C)O,2.8852,0.2218,34.064,40.31
C1CC2C3OC2C3O1,2.1442,0.3042,23.579,18.46
C(=Nc1nc(no1)O)N,5.8402,0.1897,28.599,97.53
C1CC12CNC(=O)N2,3.9575,0.2929,27.151,41.13
N=C1OC2(CC2)C1C#C,2.5732,0.2742,31.428,33.08
CC1C(O)C23CC(C2)N13,1.206,0.2687,32.734,23.47
CC1COCC2C1N2C,1.1494,0.3033,34.035,12.24
CNCc1nc[nH]n1,3.4361,0.2247,26.935,53.6
CCC1(C)C2OC1C2C,1.8877,0.3101,37.188,9.23
CC1CC2(CC2)C11CC1,0.2494,0.3286,35.928,0.0
OC1CC11CCOC1=N,2.4646,0.2781,31.433,53.31
O=CCC1NCC1C#N,4.5574,0.2171,31.121,52.89
OCCC1CC2CC1O2,2.8225,0.3243,32.522,29.46
N=C(CC1CO1)NC=O,4.8306,0.2293,31.206,65.48
CC1C2C(O)C1C2=O,2.8116,0.241,28.525,37.3
CC1C2OC2(C#N)C1N,3.3689,0.2469,32.321,62.34
CC1(COC(=N)O1)C#N,4.8772,0.2712,29.792,66.1
C#CC#CC1(CC1)C#C,1.3751,0.2116,34.162,0.0
O=C1CCCC2CC2N1,3.6394,0.2655,31.41,29.1
NC(C#N)C1=CNC=C1,5.4505,0.247,30.837,65.6
C1CCC(C1)CCCO,1.2867,0.342,37.659,20.23
CC1CCCC11CO1,1.7733,0.3293,30.281,12.53
OC1C2OC2(C=O)C1=O,3.3901,0.1865,29.024,66.9
CC1OC2(CC2O)C=C1,2.6847,0.2238,33.32,29.46
OC1CC=CCNC1=O,4.1674,0.2599,31.402,49.33
CC1OC11CC2CC2C1,1.6776,0.3356,32.72,12.53
c1cc(cc(c1)O)C=O,4.0824,0.1753,28.529,37.3
CC1OC=NC2(C)CC12,2.0971,0.252,33.082,21.59
c1nncn1CCC=O,4.2191,0.2069,28.655,47.78
C1C=C(C(=O)CO1)C#N,5.621,0.1713,27.817,50.09
CC(CC(C)=O)C(N)=O,1.1528,0.232,38.561,60.160000000000004
c1cc([nH]c1)C(=O)C=O,2.8371,0.1445,27.561,49.93
C#CC12CC1CCC=C2,1.0746,0.2397,32.389,0.0
N#CC1OC11C2CC1O2,3.6711,0.2499,26.946,45.55
CC1(C)OC(=O)C1(C)O,3.3878,0.2633,36.858,46.53
OC12CCOC3C1NC23,1.0221,0.3186,28.308,41.49
CCOC1C(O)CC1O,1.9001,0.304,36.53,49.69
CC#CC1CNC(=O)C1,3.9783,0.2695,32.837,29.1
OCC1C2C3C4C3N1C24,2.6827,0.2902,27.992,23.47
OC12C3NC1C(=O)C23O,2.5354,0.2199,29.112,69.56
CC1C(O)C1OC=O,3.2898,0.2513,30.253,46.53
CN1C2CC1(C)C2(C)O,1.906,0.2744,38.16,23.47
C1C2CC=CCC12,0.2635,0.2662,23.938,0.0
CC(C)C1(C)CC=CC1,0.1423,0.2654,38.952,0.0
CC1C(O)CC11CCO1,1.5483,0.3026,34.721,29.46
COCCC(OC)C#N,4.1285,0.2775,36.662,42.25
CC(=O)CC1CN1C=O,5.2308,0.2255,33.588,37.15
O=C1CC=C(N1)C1CN1,3.132,0.2099,30.125,51.040000000000006
c1c(ncc(=O)[nH]1)N,4.6165,0.1395,25.436,71.77
CCOCC1OC1CO,2.3062,0.3337,36.692,41.989999999999995
COCC1OC1C(C)C,2.5049,0.3354,38.819,21.759999999999998
CC1(O)C(O)CC1C#C,1.68,0.3008,37.649,40.46
CC#CC1COC1C#N,4.0545,0.2608,31.701,33.019999999999996
CC1C2CCC12C(N)=O,3.3007,0.2654,34.668,43.09
CC1CC23CN(C2C)C13,1.9501,0.2601,34.155,3.24
OCC1CC1CC#N,4.3292,0.309,30.586,44.019999999999996
CCC(C)(C#N)C1CN1,3.3241,0.282,37.008,45.730000000000004
CC(C=O)C#CC#N,3.7719,0.2098,28.529,40.86
CN1CC1(C)CC=O,3.0746,0.2095,32.983,20.08
CC1OCCCOC1C,1.5558,0.3222,35.911,18.46
CN=C(C#N)N(C)C=N,1.1087,0.1876,34.183,63.24
CC1OCC=C(C)C1O,1.6573,0.2568,35.567,29.46
OC12CC3C(C1)C23,1.0451,0.3122,23.363,20.23
NC1(C[NH2+]C1)C([O-])=O,5.1344,0.2597,28.278,82.75999999999999
CCCC1(CC1C)C=O,3.0017,0.2322,38.532,17.07
CC1=NCC2(CO2)CO1,2.5058,0.272,30.927,34.120000000000005
OC1CNC(=O)CC1=O,1.7928,0.2173,30.222,66.4
CC1OC(=N)C2C1N2C,3.0796,0.2548,32.118,36.089999999999996
OC1CC2=CCOCC12,2.5514,0.2559,30.977,29.46
CCC1CC2(CC12)C=O,3.2798,0.2264,34.323,17.07
OCC(=O)C1OCC=C1,3.3198,0.2066,30.94,46.53
COC=Nc1ccco1,2.7099,0.1755,29.896,34.730000000000004
COCC1NCCC1=O,2.0375,0.2126,33.486,38.33
COC1(COC1)C1CO1,1.898,0.3203,32.537,30.990000000000002
C1OC1C1COCO1,1.7429,0.3402,25.475,30.99
CN=C1OC(C)C2NC12,3.2417,0.2574,32.26,43.53
O=CC1CC=C2CCC12,2.7458,0.2059,30.474,17.07
CC1NC1C1CC(=O)N1,3.9801,0.2829,33.026,51.040000000000006
C#CC#CCC1(CC1)O,0.9364,0.2285,35.184,20.23
CC1=CC2OC1(C)C2O,2.0202,0.2349,33.536,29.46
CN=C1OC2(C)CCC12,2.4692,0.2733,33.651,21.59
OC1C2COCOCC12,2.6346,0.3108,30.691,38.69
COC12CC1(OC2)C#N,4.6597,0.2345,30.764,42.25
OC(C#N)C1C2CC1C2,3.6468,0.3062,30.849,44.019999999999996
CC1CC=C(CO)C1=O,2.0414,0.1979,33.799,37.3
CC1OCC2OC3C2C13,2.4209,0.3048,29.433,18.46
OC1CC2(CC12)N1CC1,1.6248,0.2889,32.869,23.240000000000002
CCC(=O)C1=CNCC1,4.2749,0.1777,33.896,29.1
OCC(C=O)C(=O)CO,3.8485,0.2098,34.983,74.6
CC1(O)CC2CN3C2C13,2.456,0.3,32.037,23.240000000000002
NCC(C#N)C(O)C#N,5.2636,0.2514,34.287,93.83000000000001
CC12NC1C1OC2C=C1,1.7355,0.2472,28.886,31.17
CC1CC2=C(C1)C=CN2,1.732,0.238,31.387,15.79
CC(C#N)C(C)C1CN1,4.9159,0.2825,36.369,45.730000000000004
CCC1OCOC1=O,2.829,0.2746,27.455,35.53
C1COCCNCC1=O,1.7147,0.1939,32.447,38.33
Cc1c(c[nH]n1)N(C)C,2.2879,0.2233,34.871,31.92
CN1C2CC=CC12C#N,5.2678,0.2292,30.415,26.799999999999997
C#Cc1cnn[nH]1,4.0454,0.2135,20.287,41.57
C1CC2(O1)C1C3CN1C23,3.2679,0.2978,27.51,12.47
OC12COCC11CC2C1,2.6105,0.3099,30.092,29.46
C1CC2CCCC1O2,1.4025,0.3144,26.819,9.23
C1OCC23OC4C2C1C34,1.9035,0.3044,25.994,18.46
CC1N(C)C1(C)CC#C,1.634,0.2712,40.014,3.01
OCC(C#N)C1CCO1,3.3875,0.2891,32.605,53.25
CC[NH+]=CNCC([O-])=O,7.7485,0.2409,35.134,66.13
CC(C#N)C(N)C#C,3.4107,0.275,32.62,49.81
CC1(OC(=O)C1O)C#C,3.193,0.2528,33.029,46.53
CC1(O)C2CC1(N2)C=O,1.4708,0.2067,32.798,49.33
O=CC12CC1N1CCC21,3.3411,0.2044,29.189,20.310000000000002
CC1(CO)C=CC2OC12,2.7635,0.2466,33.141,32.76
[NH3+]C(CCCO)C([O-])=O,4.4338,0.2681,36.689,88.0
c1cnn(c1)C(=O)C=O,4.3285,0.1657,26.269,51.96
N=C1CNC2CC(C2)O1,2.93,0.2431,29.753,45.11
CC12C3OC1CC23CO,2.358,0.2893,32.569,29.46
CCN1CC1(C)CC#C,1.1534,0.2803,39.092,3.01
CC12CC3COC13CO2,1.556,0.2998,30.684,18.46
c1cnc(cn1)C#N,4.0331,0.1901,21.312,49.57
Cn1c(=O)[nH]c(n1)CO,2.4378,0.2234,31.262,70.91
ON=C1CC2NC12,2.0903,0.2402,23.232,54.53
CCC12CC=CC1N2,1.5094,0.2337,29.351,21.94
CC1CN(C)CC(=O)N1,3.9491,0.2553,34.559,32.34
CCOC(=N)C(C)CO,1.5714,0.2905,39.164,53.31
O=CC1=NCC2CC2N1,2.8907,0.1676,29.084,41.46
Cc1c(noc1NC)N,3.7348,0.2297,34.632,64.08
CC(OCC=O)C=O,0.9872,0.2209,31.014,43.370000000000005
CC#CC1CC1(C)C#C,0.9483,0.258,37.553,0.0
N#CC12CN1CC1NC21,4.9604,0.265,27.722,48.739999999999995
Cc1cc2c([nH]1)[nH]cn2,5.0885,0.2164,29.479,44.47
OC12C3C4C5C1C(C23)N45,1.9667,0.2922,25.522,23.240000000000002
CC(O)C1(C)CN=CO1,2.325,0.2736,34.836,41.82000000000001
OCC#CC1OCC1O,2.926,0.2688,33.723,49.69
CNC1(C#N)C(O)C1O,4.3435,0.2365,35.215,76.28
C1CNC(=O)C(=O)C=C1,6.4111,0.1643,29.547,46.17
OC1(CC2NC12)C1CC1,2.5747,0.3127,32.57,42.17
CCc1nc(co1)C#C,1.7348,0.2146,31.16,26.03
CCC1(C)CC1(C)C=O,2.7635,0.2232,39.614,17.07
CC1=CCCCC1=NO,0.8177,0.1976,33.876,32.59
CC1(O)C2NC2C11CO1,2.5524,0.2955,32.987,54.7
CC1=CCC(C#N)C1=O,5.8902,0.1985,30.513,40.86
CCC#CCCC#N,4.3778,0.2851,31.84,23.79
c1c(cnc(=O)[nH]1)F,4.7398,0.1671,22.351,45.75
O=C1C2OC3CCC2C13,3.2947,0.2085,26.352,26.3
c1nc(c(o1)C#N)C#N,4.9567,0.194,23.988,73.61
CC1N2CC(C2)OC1=O,3.3943,0.2298,29.377,29.54
CC12CN1C(CC2)C#C,1.7846,0.2811,33.959,3.01
O=CC1(NCC1=O)C#C,4.1178,0.1877,31.185,46.17
CCC(NC=O)C(C)C,3.6116,0.2821,40.747,29.1
CC(O)C12COC1C2C,2.0952,0.292,36.169,29.46
N#CC1OC2C3NC1C23,5.9476,0.2527,25.989,45.05
CCC1=NCC(=O)O1,2.3846,0.2499,26.776,38.66
CC12COCC1C(=O)O2,4.5428,0.274,29.184,35.53
CCOC1(C)CCC1C,0.9259,0.322,40.15,9.23
CC12C3N4C1CC4C23C,2.0318,0.2903,31.193,3.24
O=C1NC2(CC2)C2NC12,4.238,0.2503,29.539,51.040000000000006
OCC1CCC2(O)CC12,1.8034,0.326,34.992,40.46
COc1[nH]c(cn1)C#C,1.963,0.1988,30.908,37.91
N#CCC(C#N)N1CC1,1.4526,0.27,31.295,50.589999999999996
ON=C1CNC1C1CC1,1.017,0.2324,33.226,44.620000000000005
CC1CC2OCC12C,1.894,0.312,30.928,9.23
CCCC1OCC1(C)C,1.6269,0.3177,39.869,9.23
OC1(C#N)C2C3CC1N23,3.7749,0.2737,28.053,47.029999999999994
C1CN(C1=O)C2COC2,4.5221,0.2677,29.809,29.540000000000003
CCC(C)(CCO)C#C,1.7994,0.3173,41.924,20.23
C#CC1CN(C1)CC#N,4.1491,0.2588,32.143,27.03
OC12CC1C(=O)NC=C2,3.1024,0.2106,29.871,49.33
N=C1NC=C(O1)C1CO1,3.539,0.2058,28.897,65.31
CC1(CCC1)CCC#N,4.3304,0.3357,36.157,23.79
Cn1cncc1OC=O,3.2011,0.217,28.825,44.120000000000005
CCC1C2OC2C1=NO,1.646,0.2448,32.941,45.120000000000005
OC1CCC2=C1C=CN2,3.5271,0.2419,30.154,36.019999999999996
C#CC1(CO1)C#CC#N,4.595,0.2192,30.01,36.32
Cn1cc(nc1CO)O,1.6373,0.2112,32.651,58.28
CC1NC(=O)CC1=O,2.6043,0.2079,27.747,46.17
COCC(O)COC=O,6.1416,0.285,35.575,55.76
CCC#CC(C)N1CC1,1.5992,0.2792,37.853,3.01
COCC(CO)CO,4.1959,0.314,34.879,49.69
C#CCNC(=O)N,3.4698,0.289,27.326,55.120000000000005
C1CC1C1COC=N1,1.5046,0.2702,26.457,21.59
C#CC1CCC2CC1C2,0.7195,0.3087,32.166,0.0
CCN(C)c1ncco1,1.8126,0.2255,32.783,29.270000000000003
CN1CC(C#N)C1=O,5.7594,0.2728,26.884,44.1
OC1C2C3C(CN23)C1O,2.4088,0.2805,29.426,43.47
CC1(CCCCO)CO1,1.339,0.339,38.863,32.76
CC1C(N)C(=O)OC1=N,2.5285,0.2425,31.886,76.17000000000002
OC1C=CCCC1C=O,3.2323,0.232,32.492,37.3
CC1NC(=O)C1(C)C#C,3.7643,0.2627,35.705,29.1
CN1CCOC(=N)C1=O,5.9355,0.2176,30.512,53.39
OC1COC1=O,3.0125,0.2616,18.879,46.53
C1C=CCOCOC1=O,4.2099,0.2342,29.374,35.53
CCNc1cnoc1,4.2172,0.208,27.682,38.06
OCCC1CNC(=O)O1,4.0938,0.3137,31.995,58.56
CC1NC2(C)CC12C#N,3.6458,0.2493,34.073,35.82
CN1CC2OCC2C1=O,2.6766,0.2657,29.452,29.54
CC1C=CC2OCC12C,2.0194,0.2507,33.291,9.23
O=C1CC=CC(N1)C#C,3.3766,0.245,30.778,29.1
CC1C(OC1=N)C1CC1,2.9688,0.2892,33.405,33.08
ON=C1CCCC1C=O,2.3691,0.2208,32.175,49.660000000000004
OCC1CCC1O,1.6859,0.3241,28.084,40.46
CC#CCCOCC#C,1.4153,0.2778,37.32,9.23
CC(O)(C=O)C1CN1,2.3861,0.2063,31.798,59.239999999999995
NC(=O)CC1CNC1=O,4.8489,0.2493,31.858,72.19
CC12OC3C1C2N=C3N,1.7143,0.2252,30.073,47.61
C1CC2COCC2C1,1.6124,0.3187,27.047,9.23
CC12C3OC1C1(CC1)C23,1.9277,0.3043,30.945,9.23
CC(O)C1OC2CCC12,1.0665,0.3016,34.196,29.46
CC(C)Cc1conn1,3.6504,0.2291,32.906,38.92
CC(C)C12NC1CC=C2,1.6579,0.2455,35.002,21.94
OCC(O)(CC=O)C#N,3.9493,0.2236,34.325,81.32
C1OC2C=CCC3OC123,1.7417,0.2581,27.66,21.759999999999998
COC1OC(=O)NC1C,4.3517,0.3122,32.404,47.56
O=CC1OCC2OCC12,3.5039,0.2163,28.075,35.53
O=CC1C(C=O)C1C#C,3.0374,0.2071,31.938,34.14
