index,selfies,smiles,SA,pred_D,pred_P,pred_EG,pred_r0,vgae_score,reward,img_page,img_tile
12,[N-]=[N+]=Nc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],[N-]=[N+]=Nc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],1.5598833105991516,-0.2533488988195517,-0.24846148540025254,-0.21629599862356919,0.12050773307246039,,-0.2052337865555651,mols/page_0001.png,12
13,O=[N+]([O-])OCn1nnc([N+](=O)[O-])n1,O=[N+]([O-])OCn1nnc([N+](=O)[O-])n1,1.3764374998423639,1.7871554637217344,1.788128048037488,1.7386674991289488,1.1554796166014332,,1.7121576631562339,mols/page_0001.png,13
14,[N-]=[N+]=Nc1c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],[N-]=[N+]=Nc1c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],1.755885732905358,1.8185111681601458,2.023553483398774,2.0032430523486116,1.8122006493366798,,1.9255757818965042,mols/page_0001.png,14
15,O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2nnc3ccccc32)c([N+](=O)[O-])c1,O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2nnc3ccccc32)c([N+](=O)[O-])c1,1.4958857329053583,-2.0356196461848057,-1.7009889943312972,-1.783968148121527,-0.8203627730425477,,-1.7507918887987075,mols/page_0001.png,15
16,O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2ccnn2)c([N+](=O)[O-])c1,O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2ccnn2)c([N+](=O)[O-])c1,1.4839038473124213,-1.1694921594455419,-1.03846055547452,-1.024040757234808,-0.34473129893757126,,-1.0113437416507547,mols/page_0001.png,16
17,N#[N+]c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1[O-],N#[N+]c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1[O-],1.496601054988479,-1.194015318246028,-1.0295689047126222,-1.2299382185009815,-0.2703274381418795,,-1.0612933312393298,mols/page_0001.png,17
18,O=[N+]([O-])N1CC(N(F)F)(N(F)F)CN([N+](=O)[O-])CC(N(F)F)(N(F)F)C1,O=[N+]([O-])N1CC(N(F)F)(N(F)F)CN([N+](=O)[O-])CC(N(F)F)(N(F)F)C1,1.9436858610047383,2.562137561559636,2.6543045800115097,3.5856802162772534,1.3208856123293757,,2.721548135851576,mols/page_0001.png,18
19,Cc1c([N+]#N)c([O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],Cc1c([N+]#N)c([O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],1.601719749037849,-0.5167526856459442,-0.45235329477755837,-0.503686953846622,-0.02300641868547832,,-0.4447918087395513,mols/page_0001.png,19
20,N#[N+]c1cc([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c1[O-],N#[N+]c1cc([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c1[O-],1.517308431519336,-1.0654853695279132,-0.7840830665637968,-1.487901912909609,0.7780736797991659,,-0.9023129095513943,mols/page_0002.png,0
21,O=[N+]([O-])OCCC(CCN(CCC(CCO[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],O=[N+]([O-])OCCC(CCN(CCC(CCO[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],2.3655207929383306,-0.11711200831598836,-0.3513592570023823,0.040383654937092194,-1.1266502175115642,,-0.24896608802819398,mols/page_0002.png,1
22,O=[N+]([O-])OCCN(c1c([N+](=O)[O-])cc([N+](=O)[O-])c(/C=C/c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c1[N+](=O)[O-])[N+](=O)[O-],O=[N+]([O-])OCCN(c1c([N+](=O)[O-])cc([N+](=O)[O-])c(/C=C/c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c1[N+](=O)[O-])[N+](=O)[O-],2.4222400836961357,-0.48551953807996207,-0.46086707353991135,-0.42138206249950205,-0.17415051114020047,,-0.4309525271288556,mols/page_0002.png,2
23,Nc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(NCCO[N+](=O)[O-])c1[N+](=O)[O-],Nc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(NCCO[N+](=O)[O-])c1[N+](=O)[O-],1.755885732905358,-0.520709858507647,-0.49317784455761304,-0.38715604885256444,-0.22002811636338912,,-0.4489936276944404,mols/page_0002.png,3
24,O=[N+]([O-])OCCNc1c([N+](=O)[O-])c(NCCO[N+](=O)[O-])c([N+](=O)[O-])c(NCCO[N+](=O)[O-])c1[N+](=O)[O-],O=[N+]([O-])OCCNc1c([N+](=O)[O-])c(NCCO[N+](=O)[O-])c([N+](=O)[O-])c(NCCO[N+](=O)[O-])c1[N+](=O)[O-],2.2983993249990475,-0.47376979074630604,-0.5520492160640197,-0.3159402551720644,-0.7136036044261034,,-0.48177961581603945,mols/page_0002.png,4
25,O=[N+]([O-])OCC1OC2OC3C(CO[N+](=O)[O-])OC(OC1C(O[N+](=O)[O-])C2O[N+](=O)[O-])C(O[N+](=O)[O-])C3O[N+](=O)[O-],O=[N+]([O-])OCC1OC2OC3C(CO[N+](=O)[O-])OC(OC1C(O[N+](=O)[O-])C2O[N+](=O)[O-])C(O[N+](=O)[O-])C3O[N+](=O)[O-],9.186790600693021,0.3680144443962297,0.34948917174566707,0.27685628938517515,0.18385301668428902,,0.32125118107710315,mols/page_0002.png,5
26,CC(CN(CCO[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],CC(CN(CCO[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.721719749037849,0.13368413306974414,-0.18950642626588254,0.2773215442905062,-1.2959734304259956,,-0.07032943827532732,mols/page_0002.png,6
27,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],1.596601054988479,1.2081559460756286,1.0083752822754724,1.0575056590968217,-0.030832281467237748,,0.9866603524365932,mols/page_0002.png,7
28,O=[N+]([O-])OCCNc1c([N+](=O)[O-])cc([N+](=O)[O-])c(N(CCO[N+](=O)[O-])[N+](=O)[O-])c1[N+](=O)[O-],O=[N+]([O-])OCCNc1c([N+](=O)[O-])cc([N+](=O)[O-])c(N(CCO[N+](=O)[O-])[N+](=O)[O-])c1[N+](=O)[O-],2.1135676759431465,0.08884717266412652,-0.020925685194294545,0.16844786632355255,-0.26251382049043104,,0.04067938940600095,mols/page_0002.png,8
29,O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],1.786423335035418,1.1591834768465044,0.9069580150840691,1.1259567908085883,-0.24440939532561912,,0.9348498795910825,mols/page_0002.png,9
30,O=[N+]([O-])OCCCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],O=[N+]([O-])OCCCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1.8292669435287097,1.0467061215536766,0.8142538437536799,1.0797326636549711,-0.2595676421376047,,0.854599697369873,mols/page_0002.png,10
31,O=[N+]([O-])OCN(CN(CN(CN(CO[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],O=[N+]([O-])OCN(CN(CN(CN(CO[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],2.137462216552583,1.3634810694600317,1.1408885722053985,1.344318963859935,-0.016283842144739904,,1.1539363027231404,mols/page_0002.png,11
32,O=[N+]([O-])OCCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],O=[N+]([O-])OCCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1.786423335035418,1.4766749110839839,1.3056886767709757,1.4172108394563678,0.24123981988678558,,1.2869695137634574,mols/page_0002.png,12
33,O=[N+]([O-])OCC(O[N+](=O)[O-])C(CO[N+](=O)[O-])O[N+](=O)[O-],O=[N+]([O-])OCC(O[N+](=O)[O-])C(CO[N+](=O)[O-])O[N+](=O)[O-],2.743903847312421,1.1986232211393768,1.0308891707081913,0.9736988765538592,0.13359410383582496,,0.9855690081332865,mols/page_0002.png,13
34,CN(C=O)[N+](=O)[O-],CN(C=O)[N+](=O)[O-],1.4878467081635287,-1.4161755750161038,-1.6124117090821566,-1.3977362735012435,-2.547346154863066,,-1.5835536478419008,mols/page_0002.png,14
35,COCN(CN(CN(COC)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],COCN(CN(CN(COC)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1.7639038473124213,-1.2087174292116631,-1.4384232140356816,-0.8984335753628342,-2.580381067416079,,-1.337224565017103,mols/page_0002.png,15
36,CC(CCN(C(=O)OCC(COC(=O)N(CCC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],CC(CCN(C(=O)OCC(COC(=O)N(CCC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],2.790265751340508,-0.5033602048491513,-0.5814762775196848,-0.5644450352469476,-1.0238903084546922,,-0.5941192446103145,mols/page_0002.png,16
37,CN(CCN[N+](=O)[O-])[N+](=O)[O-],CN(CCN[N+](=O)[O-])[N+](=O)[O-],1.518091503851731,-0.9308480033337456,-1.2351299947912133,-0.5418409906211477,-2.5951964505793566,,-1.0913156923173974,mols/page_0002.png,17
38,O=C1NC2C(NC(=O)N2[N+](=O)[O-])N1[N+](=O)[O-],O=C1NC2C(NC(=O)N2[N+](=O)[O-])N1[N+](=O)[O-],2.5173084315193357,0.5581378633407399,0.7391988182076028,0.12724079014137815,1.406744792531007,,0.589592574419985,mols/page_0002.png,18
39,CN(CCN(C(=O)C(=O)N(CCN(C)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],CN(CCN(C(=O)C(=O)N(CCN(C)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],2.0036858610047386,-0.9270345991108541,-1.082229504317806,-0.755333883748943,-1.7580189324509186,,-1.0137663251664684,mols/page_0002.png,19
40,O=[N+]([O-])N=C1NCN([N+](=O)[O-])CN1,O=[N+]([O-])N=C1NCN([N+](=O)[O-])CN1,1.496437499842364,0.4975287761986634,0.3060942618807975,0.6099461128552491,-0.25514715009533406,,0.39293516343805035,mols/page_0003.png,0
41,CCC(CN(CC(CC)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],CCC(CN(CC(CC)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.9158857329053582,-0.8892729412250884,-1.112228324758412,-0.5508666671099375,-2.0349021455041334,,-0.9861209081842023,mols/page_0003.png,1
42,CN(C(=O)C(=O)N(C)[N+](=O)[O-])[N+](=O)[O-],CN(C(=O)C(=O)N(C)[N+](=O)[O-])[N+](=O)[O-],1.5963039679725397,-0.8333830792925113,-0.9763438927463265,-0.8416653122555786,-1.5121318177539353,,-0.946216755415565,mols/page_0003.png,2
43,CC(CN(CCN(CC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],CC(CN(CCN(CC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],2.0926028435074597,-0.2847124594677341,-0.5418581711396978,-0.08855285342298212,-1.4152703879678716,,-0.42587206430814895,mols/page_0003.png,3
44,CCOC(=O)C12N([N+](=O)[O-])C(=O)N([N+](=O)[O-])C1(C(=O)OCC)N([N+](=O)[O-])C(=O)N2[N+](=O)[O-],CCOC(=O)C12N([N+](=O)[O-])C(=O)N([N+](=O)[O-])C1(C(=O)OCC)N([N+](=O)[O-])C(=O)N2[N+](=O)[O-],2.1535676759431466,-0.45742337507557984,-0.4311790472291085,-0.7312167531509453,-0.15344766932339457,,-0.4876008506652612,mols/page_0003.png,4
45,O=C1NC2C(N([N+](=O)[O-])CN2[N+](=O)[O-])N1[N+](=O)[O-],O=C1NC2C(N([N+](=O)[O-])CN2[N+](=O)[O-])N1[N+](=O)[O-],2.559883310599151,1.1573388387922503,1.2658942514190965,0.9397379552110179,1.2295259195920438,,1.1427239497649753,mols/page_0003.png,5
46,O=[N+]([O-])NCCN(CCN(CCN[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],O=[N+]([O-])NCCN(CCN(CCN[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1.8292669435287097,-0.6614585702827526,-0.9289009931517617,-0.3671276983706185,-1.8592824865837865,,-0.7878909707955252,mols/page_0003.png,6
47,CC(CCN(C(=O)OCC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],CC(CCN(C(=O)OCC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],2.0036858610047386,-0.6789983442177087,-0.7878062077528861,-0.6641860146631535,-1.3306577620319,,-0.7731035626710422,mols/page_0003.png,7
48,CC(CN(CCC(CCN(CC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],CC(CN(CCC(CCN(CC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],2.505174135090663,-0.3388307460969283,-0.5538255019384642,-0.11640321803998371,-1.3676319330059612,,-0.45060240952605624,mols/page_0003.png,8
49,COCCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],COCCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1.721719749037849,0.16734799193890437,-0.12111063609301527,0.25961991612626967,-1.1705600302937753,,-0.029912417647098163,mols/page_0003.png,9
50,O=[N+]([O-])NCCN(CCN[N+](=O)[O-])[N+](=O)[O-],O=[N+]([O-])NCCN(CCN[N+](=O)[O-])[N+](=O)[O-],1.637308431519336,-0.42482638949333484,-0.7146485276652158,-0.15878485015736826,-1.7450378698082287,,-0.5772837941423969,mols/page_0003.png,10
51,CC(CCN(CC(CN(CCC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],CC(CCN(CC(CN(CCC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],2.505174135090663,-0.252407724888974,-0.46623969148779076,-0.029604295672745914,-1.3019172166789543,,-0.36580740674356005,mols/page_0003.png,11
52,CC(CCN(C(=O)C(=O)N(CCC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],CC(CCN(C(=O)C(=O)N(CCC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],2.2735676759431467,-0.605079266481436,-0.7342694434015054,-0.552746941746593,-1.2424879257405832,,-0.6944941042996607,mols/page_0003.png,12
53,O=[N+]([O-])N1CCN([N+](=O)[O-])C2C1N([N+](=O)[O-])CCN2[N+](=O)[O-],O=[N+]([O-])N1CCN([N+](=O)[O-])C2C1N([N+](=O)[O-])CCN2[N+](=O)[O-],1.7092669435287096,1.1279833253615608,1.0113215978492678,1.3557851015942053,0.31903803080468623,,1.0690407217103464,mols/page_0003.png,13
54,O=[N+]([O-])NCCC(CCN[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],O=[N+]([O-])NCCC(CCN[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.721719749037849,-0.14077805463044774,-0.4182004376893798,0.04378462799386729,-1.3185424301021975,,-0.2956405364392236,mols/page_0003.png,14
55,CCN(CC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],CCN(CC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1.786423335035418,-0.2770196588598737,-0.44954943982235707,-0.296880476740389,-1.1054098144741056,,-0.41658281318017065,mols/page_0003.png,15
56,O=[N+]([O-])NCCN[N+](=O)[O-],O=[N+]([O-])NCCN[N+](=O)[O-],1.4796683620478217,0.24292080183199355,-0.12266237081303893,0.36075845142268576,-1.366931511552172,,0.0017200310977402988,mols/page_0003.png,16
57,CN(c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-])[N+](=O)[O-],CN(c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-])[N+](=O)[O-],1.6239038473124212,-0.37649891508641786,-0.40786341854376307,-0.23101354720250625,-0.34831177504050737,,-0.3467182101480525,mols/page_0003.png,17
58,O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1,O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1,1.6839038473124213,1.3000233206549547,1.1389586460674028,1.5010476239999628,0.14673557768558904,,1.1866312198180045,mols/page_0003.png,18
59,O=C(CN(CCN(CC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],O=C(CN(CCN(CC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],2.6467906006930217,0.4983348233211782,0.37022453837495006,0.3033377567494366,-0.13832493338931087,,0.34748649552332544,mols/page_0003.png,19
60,O=C(CCN(CCC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],O=C(CCN(CCC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],2.4583993249990477,0.11045724888148921,-0.012811179466118051,-0.07431041115256885,-0.38411163801774384,,-0.022172083321230798,mols/page_0004.png,0
61,CC(CN(CC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],CC(CN(CC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.8292669435287097,-0.0700698098276232,-0.33872082808777204,0.0857359329081497,-1.2723893094470116,,-0.2319456295836635,mols/page_0004.png,1
62,O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1,O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1,1.536601054988479,1.2656681153259377,1.0859530745606905,1.4508583070612575,0.04135521074216322,,1.135619860571816,mols/page_0004.png,2
63,CC(CN(CC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],CC(CN(CC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],2.0926028435074597,0.5173908457419565,0.3771035336261707,0.3689315337442472,-0.24498981450236046,,0.36195175808336166,mols/page_0004.png,3
64,COC(=O)C12N([N+](=O)[O-])C(=O)N([N+](=O)[O-])C1(C(=O)OC)N([N+](=O)[O-])C(=O)N2[N+](=O)[O-],COC(=O)C12N([N+](=O)[O-])C(=O)N([N+](=O)[O-])C1(C(=O)OC)N([N+](=O)[O-])C(=O)N2[N+](=O)[O-],2.0625801340811583,0.37911526880279295,0.4362253291796128,0.026966939370654346,0.6660037981668413,,0.3369000574942091,mols/page_0004.png,4
65,O=[N+]([O-])N(CC(CCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CC(CCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],O=[N+]([O-])N(CC(CCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CC(CCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],3.3308635222466276,1.3714472661679264,1.1743054892369829,1.5028083384251425,0.06766754675443776,,1.2147670292115986,mols/page_0004.png,5
66,CC(CCN(C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],CC(CCN(C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],2.0926028435074597,0.4640220415249251,0.33046780439749707,0.3209744552108117,-0.2610835892701064,,0.31568331072866523,mols/page_0004.png,6
67,O=C(NCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])N(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],O=C(NCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])N(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],2.227950530827869,1.0550949823472562,0.9145672008601918,0.9771088054317186,0.11368842000226508,,0.8992994474377533,mols/page_0004.png,7
68,Cc1c(N(C)[N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],Cc1c(N(C)[N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],1.755885732905358,0.1431406527712163,0.06429259587292571,0.2503931814541366,-0.12701165749497895,,0.11928413684583966,mols/page_0004.png,8
